query_id,strict_all_score
2024-160253,0.5833333333333334
2024-160253,0.5833333333333334
2024-160253,0.4166666666666667
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.75
2024-160253,0.5833333333333334
2024-160253,0.5833333333333334
2024-160253,0.5
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.5
2024-160253,0.5833333333333334
2024-160253,0.5
2024-160253,0.5833333333333334
2024-160253,0.5
2024-160253,0.5
2024-160253,0.5833333333333334
2024-160253,0.5
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.5833333333333334
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.5833333333333334
2024-160253,0.75
2024-160253,0.6666666666666666
2024-160253,0.5
2024-160253,0.5
2024-160253,0.5833333333333334
2024-160253,0.6666666666666666
2024-160253,0.6666666666666666
2024-160253,0.5
2024-160253,0.6666666666666666
2024-127288,0.25
2024-127288,0.375
2024-127288,0.125
2024-127288,0.3125
2024-127288,0.1875
2024-127288,0.3125
2024-127288,0.375
2024-127288,0.25
2024-127288,0.3125
2024-127288,0.3125
2024-127288,0.4375
2024-127288,0.25
2024-127288,0.3125
2024-127288,0.3125
2024-127288,0.4375
2024-127288,0.25
2024-127288,0.375
2024-127288,0.3125
2024-127288,0.375
2024-127288,0.375
2024-127288,0.1875
2024-127288,0.5
2024-127288,0.3125
2024-127288,0.3125
2024-127288,0.1875
2024-127288,0.375
2024-127288,0.4375
2024-127288,0.375
2024-127288,0.1875
2024-127288,0.125
2024-127288,0.375
2024-127288,0.4375
2024-127288,0.3125
2024-127288,0.3125
2024-127288,0.25
2024-127288,0.375
2024-127288,0.1875
2024-127288,0.3125
2024-127288,0.375
2024-127288,0.375
2024-127288,0.3125
2024-127288,0.125
2024-127288,0.375
2024-127288,0.25
2024-127288,0.25
2024-127288,0.25
2024-127288,0.25
2024-127288,0.5
2024-127288,0.1875
2024-224013,0.5
2024-224013,0.5
2024-224013,0.5
2024-224013,0.5
2024-224013,0.5
2024-224013,0.4166666666666667
2024-224013,0.3333333333333333
2024-224013,0.5833333333333334
2024-224013,0.5
2024-224013,0.5833333333333334
2024-224013,0.4166666666666667
2024-224013,0.3333333333333333
2024-224013,0.3333333333333333
2024-224013,0.4166666666666667
2024-224013,0.6666666666666666
2024-224013,0.6666666666666666
2024-224013,0.6666666666666666
2024-224013,0.4166666666666667
2024-224013,0.5833333333333334
2024-224013,0.4166666666666667
2024-224013,0.4166666666666667
2024-224013,0.4166666666666667
2024-224013,0.3333333333333333
2024-224013,0.4166666666666667
2024-224013,0.5833333333333334
2024-224013,0.5
2024-224013,0.5
2024-224013,0.5
2024-224013,0.5833333333333334
2024-224013,0.5
2024-224013,0.5
2024-224013,0.25
2024-224013,0.3333333333333333
2024-224013,0.5
2024-224013,0.5
2024-224013,0.4166666666666667
2024-224013,0.4166666666666667
2024-224013,0.4166666666666667
2024-224013,0.5
2024-224013,0.4166666666666667
2024-224013,0.5
2024-224013,0.5
2024-224013,0.4166666666666667
2024-224013,0.25
2024-224013,0.5833333333333334
2024-224013,0.3333333333333333
2024-224013,0.4166666666666667
2024-224013,0.6666666666666666
2024-224013,0.5
2024-221429,0.4166666666666667
2024-221429,0.5833333333333334
2024-221429,0.5
2024-221429,0.5
2024-221429,0.5
2024-221429,0.3333333333333333
2024-221429,0.5
2024-221429,0.5
2024-221429,0.5
2024-221429,0.3333333333333333
2024-221429,0.4166666666666667
2024-221429,0.4166666666666667
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.5
2024-221429,0.5
2024-221429,0.5833333333333334
2024-221429,0.5
2024-221429,0.5833333333333334
2024-221429,0.5
2024-221429,0.5
2024-221429,0.5
2024-221429,0.3333333333333333
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.5
2024-221429,0.4166666666666667
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.5
2024-221429,0.3333333333333333
2024-221429,0.5
2024-221429,0.5
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.3333333333333333
2024-221429,0.4166666666666667
2024-221429,0.4166666666666667
2024-221429,0.3333333333333333
2024-221429,0.5833333333333334
2024-221429,0.5
2024-221429,0.5
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.5
2024-221429,0.4166666666666667
2024-221429,0.5
2024-221429,0.5
2024-221429,0.4166666666666667
2024-219698,0.25
2024-219698,0.25
2024-219698,0.25
2024-219698,0.25
2024-219698,0.3333333333333333
2024-219698,0.3333333333333333
2024-219698,0.25
2024-219698,0.08333333333333333
2024-219698,0.16666666666666666
2024-219698,0.25
2024-219698,0.25
2024-219698,0.16666666666666666
2024-219698,0.3333333333333333
2024-219698,0.08333333333333333
2024-219698,0.08333333333333333
2024-219698,0.4166666666666667
2024-219698,0.08333333333333333
2024-219698,0.16666666666666666
2024-219698,0.25
2024-219698,0.25
2024-219698,0.3333333333333333
2024-219698,0.08333333333333333
2024-219698,0.16666666666666666
2024-219698,0.08333333333333333
2024-219698,0.08333333333333333
2024-219698,0.08333333333333333
2024-219698,0.25
2024-219698,0.08333333333333333
2024-219698,0.08333333333333333
2024-219698,0.25
2024-219698,0.16666666666666666
2024-219698,0.3333333333333333
2024-219698,0.16666666666666666
2024-219698,0.4166666666666667
2024-219698,0.16666666666666666
2024-219698,0.16666666666666666
2024-219698,0.08333333333333333
2024-219698,0.3333333333333333
2024-219698,0.25
2024-219698,0.25
2024-219698,0.08333333333333333
2024-219698,0.25
2024-219698,0.25
2024-219698,0.08333333333333333
2024-219698,0.25
2024-219698,0.25
2024-219698,0.16666666666666666
2024-219698,0.3333333333333333
2024-219698,0.3333333333333333
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.25
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.16666666666666666
2024-206384,0.25
2024-206384,0.0
2024-206384,0.16666666666666666
2024-206384,0.16666666666666666
2024-206384,0.08333333333333333
2024-206384,0.25
2024-206384,0.16666666666666666
2024-206384,0.0
2024-206384,0.0
2024-206384,0.16666666666666666
2024-206384,0.08333333333333333
2024-206384,0.0
2024-206384,0.16666666666666666
2024-206384,0.0
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.16666666666666666
2024-206384,0.08333333333333333
2024-206384,0.0
2024-206384,0.16666666666666666
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.16666666666666666
2024-206384,0.0
2024-206384,0.0
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.0
2024-206384,0.0
2024-206384,0.08333333333333333
2024-206384,0.08333333333333333
2024-206384,0.25
2024-206384,0.0
2024-153051,0.75
2024-153051,0.6666666666666666
2024-153051,0.5
2024-153051,0.6666666666666666
2024-153051,0.16666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.75
2024-153051,0.5833333333333334
2024-153051,0.5
2024-153051,0.5833333333333334
2024-153051,0.6666666666666666
2024-153051,0.5833333333333334
2024-153051,0.75
2024-153051,0.6666666666666666
2024-153051,0.75
2024-153051,0.5833333333333334
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.75
2024-153051,0.6666666666666666
2024-153051,0.5
2024-153051,0.75
2024-153051,0.5833333333333334
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.5833333333333334
2024-153051,0.6666666666666666
2024-153051,0.75
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.5833333333333334
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.16666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-153051,0.5
2024-153051,0.6666666666666666
2024-153051,0.5
2024-153051,0.75
2024-153051,0.6666666666666666
2024-153051,0.6666666666666666
2024-6778,0.4166666666666667
2024-6778,0.25
2024-6778,0.5
2024-6778,0.5
2024-6778,0.3333333333333333
2024-6778,0.5
2024-6778,0.8333333333333334
2024-6778,0.8333333333333334
2024-6778,0.75
2024-6778,0.3333333333333333
2024-6778,0.75
2024-6778,0.8333333333333334
2024-6778,0.5833333333333334
2024-6778,0.6666666666666666
2024-6778,0.75
2024-6778,0.75
2024-6778,0.4166666666666667
2024-6778,0.8333333333333334
2024-6778,0.4166666666666667
2024-6778,0.5833333333333334
2024-6778,0.4166666666666667
2024-6778,0.5833333333333334
2024-6778,0.4166666666666667
2024-6778,0.0
2024-6778,0.4166666666666667
2024-6778,0.6666666666666666
2024-6778,0.16666666666666666
2024-6778,0.3333333333333333
2024-6778,0.4166666666666667
2024-6778,0.75
2024-6778,0.75
2024-6778,0.6666666666666666
2024-6778,0.75
2024-6778,0.6666666666666666
2024-6778,0.5833333333333334
2024-6778,0.6666666666666666
2024-6778,0.6666666666666666
2024-6778,0.4166666666666667
2024-6778,0.8333333333333334
2024-6778,0.5
2024-6778,0.3333333333333333
2024-6778,0.3333333333333333
2024-6778,0.6666666666666666
2024-6778,0.4166666666666667
2024-6778,0.3333333333333333
2024-6778,0.4166666666666667
2024-6778,0.6666666666666666
2024-6778,0.75
2024-6778,0.75
2024-146893,0.25
2024-146893,0.4166666666666667
2024-146893,0.3333333333333333
2024-146893,0.5833333333333334
2024-146893,0.25
2024-146893,0.5
2024-146893,0.25
2024-146893,0.4166666666666667
2024-146893,0.5
2024-146893,0.3333333333333333
2024-146893,0.16666666666666666
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.4166666666666667
2024-146893,0.4166666666666667
2024-146893,0.08333333333333333
2024-146893,0.08333333333333333
2024-146893,0.16666666666666666
2024-146893,0.3333333333333333
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.3333333333333333
2024-146893,0.3333333333333333
2024-146893,0.3333333333333333
2024-146893,0.25
2024-146893,0.25
2024-146893,0.25
2024-146893,0.4166666666666667
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.4166666666666667
2024-146893,0.16666666666666666
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.16666666666666666
2024-146893,0.08333333333333333
2024-146893,0.16666666666666666
2024-146893,0.4166666666666667
2024-146893,0.3333333333333333
2024-146893,0.16666666666666666
2024-146893,0.25
2024-146893,0.25
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.25
2024-146893,0.25
2024-146893,0.16666666666666666
2024-146893,0.5
2024-146893,0.25
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.4166666666666667
2024-37596,0.3333333333333333
2024-37596,0.4166666666666667
2024-37596,0.25
2024-37596,0.16666666666666666
2024-37596,0.16666666666666666
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.25
2024-37596,0.25
2024-37596,0.4166666666666667
2024-37596,0.25
2024-37596,0.16666666666666666
2024-37596,0.25
2024-37596,0.4166666666666667
2024-37596,0.25
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.25
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.25
2024-37596,0.16666666666666666
2024-37596,0.16666666666666666
2024-37596,0.16666666666666666
2024-37596,0.25
2024-37596,0.25
2024-37596,0.3333333333333333
2024-37596,0.25
2024-37596,0.25
2024-37596,0.25
2024-37596,0.16666666666666666
2024-37596,0.4166666666666667
2024-37596,0.25
2024-37596,0.16666666666666666
2024-37596,0.25
2024-37596,0.16666666666666666
2024-12875,0.25
2024-12875,0.4166666666666667
2024-12875,0.4166666666666667
2024-12875,0.25
2024-12875,0.5
2024-12875,0.5
2024-12875,0.25
2024-12875,0.25
2024-12875,0.4166666666666667
2024-12875,0.3333333333333333
2024-12875,0.3333333333333333
2024-12875,0.25
2024-12875,0.3333333333333333
2024-12875,0.4166666666666667
2024-12875,0.3333333333333333
2024-12875,0.25
2024-12875,0.4166666666666667
2024-12875,0.3333333333333333
2024-12875,0.4166666666666667
2024-12875,0.25
2024-12875,0.4166666666666667
2024-12875,0.3333333333333333
2024-12875,0.3333333333333333
2024-12875,0.3333333333333333
2024-12875,0.5
2024-12875,0.4166666666666667
2024-12875,0.5833333333333334
2024-12875,0.5
2024-12875,0.5
2024-12875,0.4166666666666667
2024-12875,0.3333333333333333
2024-12875,0.4166666666666667
2024-12875,0.5
2024-12875,0.5
2024-12875,0.25
2024-12875,0.5833333333333334
2024-12875,0.25
2024-12875,0.3333333333333333
2024-12875,0.4166666666666667
2024-12875,0.25
2024-12875,0.4166666666666667
2024-12875,0.4166666666666667
2024-12875,0.4166666666666667
2024-12875,0.5
2024-12875,0.3333333333333333
2024-12875,0.3333333333333333
2024-12875,0.5833333333333334
2024-12875,0.3333333333333333
2024-12875,0.3333333333333333
2024-128311,0.16666666666666666
2024-128311,0.3333333333333333
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.3333333333333333
2024-128311,0.25
2024-128311,0.16666666666666666
2024-128311,0.25
2024-128311,0.25
2024-128311,0.25
2024-147917,0.07692307692307693
2024-147917,0.07692307692307693
2024-147917,0.07692307692307693
2024-147917,0.15384615384615385
2024-147917,0.07692307692307693
2024-147917,0.23076923076923078
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.15384615384615385
2024-147917,0.0
2024-147917,0.07692307692307693
2024-147917,0.15384615384615385
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.15384615384615385
2024-147917,0.0
2024-147917,0.07692307692307693
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.07692307692307693
2024-147917,0.07692307692307693
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.15384615384615385
2024-147917,0.07692307692307693
2024-147917,0.15384615384615385
2024-147917,0.0
2024-147917,0.15384615384615385
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.15384615384615385
2024-147917,0.0
2024-147917,0.38461538461538464
2024-147917,0.07692307692307693
2024-147917,0.0
2024-147917,0.23076923076923078
2024-147917,0.15384615384615385
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.0
2024-147917,0.07692307692307693
2024-147917,0.15384615384615385
2024-219626,0.5
2024-219626,0.3333333333333333
2024-219626,0.6666666666666666
2024-219626,0.5
2024-219626,0.4166666666666667
2024-219626,0.5
2024-219626,0.5833333333333334
2024-219626,0.4166666666666667
2024-219626,0.6666666666666666
2024-219626,0.5
2024-219626,0.3333333333333333
2024-219626,0.5833333333333334
2024-219626,0.75
2024-219626,0.5
2024-219626,0.4166666666666667
2024-219626,0.5
2024-219626,0.5
2024-219626,0.5
2024-219626,0.5833333333333334
2024-219626,0.75
2024-219626,0.5
2024-219626,0.3333333333333333
2024-219626,0.6666666666666666
2024-219626,0.16666666666666666
2024-219626,0.5
2024-219626,0.75
2024-219626,0.3333333333333333
2024-219626,0.3333333333333333
2024-219626,0.5833333333333334
2024-219626,0.6666666666666666
2024-219626,0.4166666666666667
2024-219626,0.4166666666666667
2024-219626,0.3333333333333333
2024-219626,0.5
2024-219626,0.4166666666666667
2024-219626,0.6666666666666666
2024-219626,0.5
2024-219626,0.5
2024-219626,0.5
2024-219626,0.4166666666666667
2024-219626,0.6666666666666666
2024-219626,0.4166666666666667
2024-219626,0.6666666666666666
2024-219626,0.6666666666666666
2024-219626,0.4166666666666667
2024-219626,0.25
2024-219626,0.5
2024-219626,0.5
2024-219626,0.4166666666666667
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.23076923076923078
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.23076923076923078
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.23076923076923078
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.3076923076923077
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-220307,0.15384615384615385
2024-44005,0.6666666666666666
2024-44005,0.5833333333333334
2024-44005,0.4166666666666667
2024-44005,0.6666666666666666
2024-44005,0.5833333333333334
2024-44005,0.3333333333333333
2024-44005,0.75
2024-44005,0.3333333333333333
2024-44005,0.0
2024-44005,0.4166666666666667
2024-44005,0.5833333333333334
2024-44005,0.3333333333333333
2024-44005,0.5833333333333334
2024-44005,0.08333333333333333
2024-44005,0.5833333333333334
2024-44005,0.3333333333333333
2024-44005,0.16666666666666666
2024-44005,0.6666666666666666
2024-44005,0.5833333333333334
2024-44005,0.5
2024-44005,0.6666666666666666
2024-44005,0.5833333333333334
2024-44005,0.25
2024-44005,0.3333333333333333
2024-44005,0.6666666666666666
2024-44005,0.6666666666666666
2024-44005,0.5833333333333334
2024-44005,0.4166666666666667
2024-44005,0.16666666666666666
2024-44005,0.6666666666666666
2024-44005,0.6666666666666666
2024-44005,0.4166666666666667
2024-44005,0.5
2024-44005,0.6666666666666666
2024-44005,0.6666666666666666
2024-44005,0.5
2024-44005,0.6666666666666666
2024-44005,0.08333333333333333
2024-44005,0.5833333333333334
2024-44005,0.5833333333333334
2024-44005,0.4166666666666667
2024-44005,0.6666666666666666
2024-44005,0.5
2024-44005,0.16666666666666666
2024-44005,0.6666666666666666
2024-44005,0.6666666666666666
2024-44005,0.3333333333333333
2024-44005,0.5833333333333334
2024-44005,0.08333333333333333
2024-127349,0.16666666666666666
2024-127349,0.0
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.08333333333333333
2024-127349,0.16666666666666666
2024-127349,0.25
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.08333333333333333
2024-127349,0.16666666666666666
2024-127349,0.16666666666666666
2024-127349,0.08333333333333333
2024-127349,0.25
2024-127349,0.25
2024-127349,0.08333333333333333
2024-127349,0.08333333333333333
2024-127349,0.0
2024-127349,0.16666666666666666
2024-127349,0.25
