qpp_metric,retrieval_method,nugget_strict_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_recall@100_mean
pre_IDF-avg,pyserini,0.3494198262055404,0.3724950644209959,0.3341106314320599,0.3875202985745887,0.2738503522788805,0.2093574581647238
pre_IDF-max,pyserini,0.3770581600938744,0.3977964619322148,0.3295923570477142,0.3669954576650314,0.3601484855024374,0.2385957627700902
pre_IDF-std,pyserini,0.2898910117660118,0.3186584025095746,0.3233399041434756,0.3716094561827921,0.339605461972935,0.2036274219587162
pre_IDF-sum,pyserini,0.3665421879707594,0.3861274407935177,0.3492168545739974,0.401505939067444,0.3292427112939631,0.2171441020432557
RSD,pyserini,0.345252515341801,0.3722651286775291,0.3491947041054185,0.4010815327081636,0.3316134999638621,0.2199189104412015
pre_SCQ-avg,pyserini,0.3409376833483976,0.3683221452533289,0.3612300398014683,0.3976642425158015,0.2754805603032494,0.2104295882725004
pre_SCQ-max,pyserini,0.3376772037486323,0.3624483782440715,0.3109563799295942,0.3627915911871434,0.3583480597484939,0.2133627794277622
pre_SCQ-sum,pyserini,0.3625030723245009,0.3842962450284984,0.3507049498120927,0.4008595266563257,0.3385432776202896,0.2190408708517892
pre_SCS-1,pyserini,0.226797408940266,0.2736601801268293,0.3194305198769484,0.3609086275367096,0.2894062585346353,0.1769750809743722
pre_SCS-2,pyserini,0.336114183435612,0.362014328182506,0.3413086913086913,0.3926378376310652,0.2964690804942332,0.2097987730621704
pre_avgICTF,pyserini,0.3486970370898942,0.3740575644209959,0.3390851212279783,0.3950666584646986,0.2748160647574011,0.2100078022590875
bert_qpp_bi_encoder,pyserini,0.2973834449280877,0.3098889137761594,0.3291388423084851,0.3616829103436246,0.3040065866517905,0.217997578882755
bert_qpp_cross_encoder,pyserini,0.3199637911691483,0.3356283555548952,0.3158289379271522,0.357332921360177,0.3533865466822804,0.2154680527866604
clarity-score-k10,pyserini,0.299184496059496,0.3294202852055434,0.3201138890871034,0.3707031650609576,0.2860371396328488,0.2112048139099483
clarity-score-k100,pyserini,0.2788473926866784,0.3327539766366612,0.3157182846914989,0.3683284068826279,0.2689878368597035,0.1965411245629971
nqc-no-norm-k100,pyserini,0.3552723566116423,0.3806023271932991,0.3611059079809079,0.4019937157632038,0.33081138667053,0.2195090268629949
nqc-norm-k100,pyserini,0.3157082748600605,0.3504811884421294,0.3334401461633604,0.3912734247790639,0.4068076137176475,0.2536571062435579
pre_null,pyserini,,,,,,
pre_ql,pyserini,0.3680051099693956,0.3939621000068534,0.3316721472971472,0.3927988497340416,0.3453139215095089,0.2283067884185485
qsd_post_predicted_ndcg,pyserini,0.3220132546025403,0.3574111275214907,0.3108921336599908,0.358284936551605,0.3908769772899257,0.2070366389957897
pre_qsdqpp_predicted_ndcg,pyserini,0.3329839059749774,0.3542978207185831,0.3313776253508397,0.3803909650061103,0.3211860248247922,0.1989364067510697
pre_rv_bert,pyserini,0.226797408940266,0.2731021444125435,0.3194305198769484,0.3636988061081382,0.2854700127505495,0.1776174242426148
pre_rv_e5,pyserini,0.226797408940266,0.2731021444125435,0.3194305198769484,0.3636988061081382,0.2854700127505495,0.1776174242426148
sigma-max,pyserini,0.3534026984919842,0.3780346334491348,0.368363233988234,0.4048972409553319,0.3163966299048329,0.2176510062012581
sigma-x0.5,pyserini,0.3521898736184451,0.3766425749311502,0.3426180961895247,0.3878331876165384,0.3334339710955901,0.2152365656000791
smv-no-norm-k100,pyserini,0.345252515341801,0.3722651286775291,0.3491947041054185,0.4010815327081636,0.3316134999638621,0.2199189104412015
smv-norm-k100,pyserini,0.3125662779680636,0.3476902294011704,0.3281343408575551,0.3894299098381225,0.3998798500413458,0.2519221628780184
wig-no-norm-k100,pyserini,0.3332371993086279,0.3612562124362074,0.3413086913086913,0.394464096980959,0.2958463618861164,0.2033592438610689
wig-no-norm-k1000,pyserini,0.3332371993086279,0.3612562124362074,0.3413086913086913,0.394464096980959,0.2958463618861164,0.2033592438610689
wig-norm-k100,pyserini,0.226797408940266,0.2731021444125435,0.3194305198769484,0.3636988061081382,0.2854700127505495,0.1776174242426148
wig-norm-k1000,pyserini,0.226797408940266,0.2731021444125435,0.3194305198769484,0.3636988061081382,0.2854700127505495,0.1776174242426148
original,pyserini,0.226797408940266,0.2731021444125435,0.3194305198769484,0.3636988061081382,0.2854700127505495,0.1776174242426148
max_oracle_nugget_all,pyserini,0.4847284907552764,0.5106946070202095,0.329868271609343,0.392755154946594,0.4140741416603343,0.2347008409369078
max_oracle_ndcg@5,pyserini,0.34350077006327,0.3952547121934285,0.3237673289012575,0.3623223101886442,0.6437257279646186,0.2568491306291712
max_oracle_ndcg@10,pyserini,0.3457541714238142,0.3949095041801532,0.3157689780457637,0.370183801959012,0.6227585450534328,0.2630657962822303
max_oracle_recall@100,pyserini,0.3625512136672851,0.3831452369547377,0.3312505203130203,0.3799911689617571,0.4934678542714535,0.3330161887796786
max_oracle_strict_all_score,pyserini,0.4888094792112649,0.4896183186883512,0.3203313799295942,0.3763441849641954,0.3922227106117052,0.2350542123408192
max_oracle_strict_vital_score,pyserini,0.5357595281702424,0.4629034910108688,0.3203774400202972,0.3690319608321184,0.3741630258722269,0.230900072661072
max_oracle_vital_score,pyserini,0.528095837694052,0.4746629318209924,0.3293155505209077,0.3734176297267159,0.3923424129375426,0.2443547143143282
max_oracle_genonly_nugget_all_score,pyserini,0.3154710864532292,0.3571958747613878,0.4614681449502878,0.5256179474611584,0.3734578702573986,0.2182484468353631
max_oracle_genonly_nugget_strict_all_score,pyserini,0.3049388607424322,0.3512198866097168,0.4789599041831184,0.504348460645453,0.3472084432812705,0.2186841478502347
max_oracle_genonly_nugget_strict_vital_score,pyserini,0.2852464004249718,0.3178350951394543,0.5130443713032998,0.465223417992519,0.3498206888966546,0.2092373744351137
max_oracle_genonly_nugget_vital_score,pyserini,0.3044488249845393,0.3382804731741182,0.5013054901447759,0.4847019012104289,0.3552659864246946,0.2138635385748999
avg_genqr,pyserini,0.3218042572506858,0.3574204047647767,0.3242483409447695,0.3784385021797947,0.2706244102738335,0.1811273627295175
avg_genqr_ensemble,pyserini,0.326018981018981,0.3644197863018351,0.3364616881134737,0.3913340364056308,0.3035401458709644,0.2039692064587781
avg_mugi,pyserini,0.348658781694496,0.3708342138229356,0.3351105343069628,0.3643758092275065,0.4103911195453244,0.2538008248127087
avg_qa_expand,pyserini,0.2865903986886129,0.3208097861583598,0.295451091567163,0.3460670026966743,0.3513226897815027,0.2177096501546731
avg_query2doc,pyserini,0.3097690454386883,0.3404980702561971,0.2938641715427429,0.3385829422095178,0.4187482398776461,0.2352697858754812
avg_query2e,pyserini,0.2682572487036773,0.3034155112173687,0.3110040951112379,0.3618415115171943,0.3336765255200888,0.1967945082288687
pre_IDF-avg,cohere,0.3862182955932955,0.415162166571941,0.3341106314320599,0.3875202985745887,0.5376902050830857,0.3318640284570818
pre_IDF-max,cohere,0.3857137158476443,0.3982684124210965,0.3295923570477142,0.3669954576650314,0.5315050517355948,0.3529792109511719
pre_IDF-std,cohere,0.3391949568288853,0.3799138031792278,0.3233399041434756,0.3716094561827921,0.5335709295716065,0.3549317005284325
pre_IDF-sum,cohere,0.3842016366569938,0.4098260617966361,0.3492168545739974,0.401505939067444,0.5185868111863936,0.3433289919515357
RSD,cohere,0.3281123638266495,0.3874662153997901,0.3352041559630845,0.3785488634556386,0.6010883102414492,0.3864955685230923
pre_SCQ-avg,cohere,0.3911154817404817,0.4212391428169845,0.3612300398014683,0.3976642425158015,0.5441535966603558,0.3371092333049983
pre_SCQ-max,cohere,0.3663030669727098,0.3776712909967692,0.3109563799295942,0.3627915911871434,0.5208432365537936,0.3387308422569247
pre_SCQ-sum,cohere,0.3863210450264022,0.4090698327315836,0.3507049498120927,0.4008595266563257,0.5130946387825038,0.3411602166849344
pre_SCS-1,cohere,0.3276982689929118,0.3761507304660915,0.3194305198769484,0.3609086275367096,0.5568864293335423,0.3753012382522689
pre_SCS-2,cohere,0.3730763532102817,0.4008944092988072,0.3413086913086913,0.3926378376310652,0.5172784662915823,0.3268776634369134
pre_avgICTF,cohere,0.3915754384504384,0.4211181897154641,0.3390851212279783,0.3950666584646986,0.5320541679282721,0.3320451220979838
bert_qpp_bi_encoder,cohere,0.3237456244152673,0.3657810231809568,0.3224736572950858,0.3502214177751827,0.5641045345868991,0.3459128631335568
bert_qpp_cross_encoder,cohere,0.3280990834562263,0.3662249327638674,0.320379248727463,0.3704566127073452,0.5364711601946861,0.3610590691854685
clarity-score-k10,cohere,0.3239749585731729,0.3799283972192115,0.3123612498612498,0.3706472647794242,0.5121389412556302,0.3614810604029941
clarity-score-k100,cohere,0.3217830532562675,0.3899393451099002,0.3318780921459493,0.3693362235168266,0.5253124627023592,0.3485934795417756
nqc-no-norm-k100,cohere,0.3207835319442462,0.3878935519812759,0.3275809755720469,0.370854718635706,0.5800776091792421,0.3809137254841558
nqc-norm-k100,cohere,0.3138036566607994,0.388480443935027,0.3247465084518656,0.3691956174952499,0.5834984816981209,0.3835385651308555
pre_null,cohere,,,,,,
pre_ql,cohere,0.3796228820782392,0.4043235497486935,0.3316721472971472,0.3927988497340416,0.5269886080686742,0.3482002946493451
qsd_post_predicted_ndcg,cohere,0.3432375907822336,0.3851665042627283,0.3208930950002379,0.3636911635743734,0.5684509480229224,0.3517951546346004
pre_qsdqpp_predicted_ndcg,cohere,0.3843252729413443,0.4053531321205331,0.3313776253508397,0.3803909650061103,0.5314123068175524,0.3404821841744709
pre_rv_bert,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
pre_rv_e5,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
sigma-max,cohere,0.3147553835053835,0.3844034445455277,0.3314478428317713,0.3714628814812638,0.5734902511449873,0.3818247089946445
sigma-x0.5,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
smv-no-norm-k100,cohere,0.3281123638266495,0.3874662153997901,0.3352041559630845,0.3785488634556386,0.6010883102414492,0.3864955685230923
smv-norm-k100,cohere,0.3173620030762887,0.3768176377869268,0.3348704618793904,0.3831793520146986,0.5926234664727001,0.3873084409038422
wig-no-norm-k100,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-no-norm-k1000,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-norm-k100,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-norm-k1000,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
original,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
max_oracle_nugget_all,cohere,0.4846649134595563,0.5331803002071274,0.3388476107226107,0.3838204654484785,0.5679662544410045,0.3557789576678506
max_oracle_ndcg@5,cohere,0.3544820754642183,0.3916915891847476,0.3272078615828616,0.3674285570411455,0.7232538355799589,0.3735396694564548
max_oracle_ndcg@10,cohere,0.3580370770102913,0.3901568889962438,0.3407674171067028,0.3699295144846062,0.6912000750480308,0.3875010585634096
max_oracle_recall@100,cohere,0.332133318070818,0.37768214749708,0.3154137529137529,0.3847819991924509,0.6081376165836483,0.4438721990321851
max_oracle_strict_all_score,cohere,0.5129228162710305,0.51235612336273,0.3191754921665635,0.376029140147962,0.5645502460642903,0.3515685151204251
max_oracle_strict_vital_score,cohere,0.5689821339374911,0.4858783358531119,0.3198220678131392,0.3713367975855536,0.5714748322655206,0.3442631311188726
max_oracle_vital_score,cohere,0.5463358318269033,0.5050350182015512,0.3310266618302332,0.3803053013700266,0.568651074110417,0.3604122211264491
max_oracle_genonly_nugget_all_score,cohere,0.3682520356627499,0.3990628710308194,0.4614681449502878,0.5256179474611584,0.5346909263084613,0.350124206969948
max_oracle_genonly_nugget_strict_all_score,cohere,0.3453718156843156,0.4007967777345265,0.4789599041831184,0.504348460645453,0.5310552156455951,0.3536970486913727
max_oracle_genonly_nugget_strict_vital_score,cohere,0.332581282804497,0.3816667320298871,0.5130443713032998,0.465223417992519,0.5314504962859227,0.348886375213928
max_oracle_genonly_nugget_vital_score,cohere,0.3502821583178725,0.4022778806191842,0.5013054901447759,0.4847019012104289,0.550449878747051,0.3565088168345022
avg_genqr,cohere,0.3753295414902558,0.4013338662894307,0.3242483409447695,0.3784385021797947,0.5465845170614253,0.3354343667692793
avg_genqr_ensemble,cohere,0.3659817612942612,0.3985814881636006,0.3364616881134737,0.3913340364056308,0.5104383220486849,0.3269143151854953
avg_mugi,cohere,0.3637124532213818,0.3838293904008051,0.3351105343069628,0.3643758092275065,0.5428490075034593,0.3635575498728843
avg_qa_expand,cohere,0.3235226826744684,0.3702054203091493,0.295451091567163,0.3460670026966743,0.5373067624371133,0.3559056478487642
avg_query2doc,cohere,0.3278576136165422,0.3608796287423693,0.2938641715427429,0.3385829422095178,0.5629265321810412,0.3713854026811875
avg_query2e,cohere,0.3544463126159555,0.3919043604360527,0.3110040951112379,0.3618415115171943,0.5307220769079236,0.3422444133872339
