qpp_metric,retrieval_method,n_queries,nugget_strict_vital_score_mean,nugget_strict_all_score_mean,nugget_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_strict_all_score_mean,genonly_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_ndcg@10_mean,retrieval_recall@100_mean
pre_IDF-avg,cohere,56,0.3862182955932955,0.3161042201048006,0.4998611259771974,0.415162166571941,0.3341106314320599,0.2858173691357293,0.4482490971330257,0.3875202985745887,0.5376902050830857,0.5101625186731447,0.3318640284570818
pre_IDF-max,cohere,56,0.3857137158476443,0.3130796113685322,0.4733357788045288,0.3982684124210965,0.3295923570477142,0.2668949575137379,0.4411758132740276,0.3669954576650314,0.5315050517355948,0.5225997912081117,0.3529792109511719
pre_IDF-std,cohere,56,0.3391949568288853,0.2833916814947055,0.4479479721667222,0.3799138031792278,0.3233399041434756,0.2736763107893139,0.432171610631432,0.3716094561827921,0.5335709295716065,0.5216901145199716,0.3549317005284325
pre_IDF-sum,cohere,56,0.3842016366569938,0.3103625473622157,0.4781835352147852,0.4098260617966361,0.3492168545739974,0.2987667847319273,0.4540454213445284,0.401505939067444,0.5185868111863936,0.5001168761548123,0.3433289919515357
RSD,cohere,56,0.3281123638266495,0.2886995046914607,0.4304748822605965,0.3874662153997901,0.3352041559630845,0.2763925171191038,0.4549518685679399,0.3785488634556386,0.6010883102414492,0.5743752233805858,0.3864955685230923
pre_SCQ-avg,cohere,56,0.3911154817404817,0.3216198354418445,0.5026749787910502,0.4212391428169845,0.3612300398014683,0.2944455931526089,0.4716302298891585,0.3976642425158015,0.5441535966603558,0.5121275168481612,0.3371092333049983
pre_SCQ-max,cohere,56,0.3663030669727098,0.2821400637300681,0.4682784849079492,0.3776712909967692,0.3109563799295942,0.2617779238121454,0.4224596583971584,0.3627915911871434,0.5208432365537936,0.5079277418104883,0.3387308422569247
pre_SCQ-sum,cohere,56,0.3863210450264022,0.3113475917296129,0.4820744855343069,0.4090698327315836,0.3507049498120927,0.2984435785263682,0.4582971220248005,0.4008595266563257,0.5130946387825038,0.4960377080893501,0.3411602166849344
pre_SCS-1,cohere,56,0.3276982689929118,0.285769633043378,0.423996762166405,0.3761507304660915,0.3194305198769484,0.2577738757139464,0.42904802290963,0.3609086275367096,0.5568864293335423,0.544369809570252,0.3753012382522689
pre_SCS-2,cohere,56,0.3730763532102817,0.3097173665043247,0.4706732875259661,0.4008944092988072,0.3413086913086913,0.2879229410755837,0.4531176784524999,0.3926378376310652,0.5172784662915823,0.4951126664728722,0.3268776634369134
pre_avgICTF,cohere,56,0.3915754384504384,0.3211101516732322,0.5042828946846803,0.4211181897154641,0.3390851212279783,0.289984035802396,0.4571351515547944,0.3950666584646986,0.5320541679282721,0.5020995661627938,0.3320451220979838
bert_qpp_bi_encoder,cohere,56,0.3237456244152673,0.2678282944419333,0.4413367386581672,0.3657810231809568,0.3224736572950858,0.2464855433646897,0.4286639947354232,0.3502214177751827,0.5641045345868991,0.5414338400717104,0.3459128631335568
bert_qpp_cross_encoder,cohere,56,0.3280990834562263,0.2692036851085668,0.4327447602001172,0.3662249327638674,0.320379248727463,0.2615957013402833,0.4261106205302634,0.3704566127073452,0.5364711601946861,0.5115798680609808,0.3610590691854685
clarity-score-k10,cohere,56,0.3239749585731729,0.283636677818594,0.4316234360877217,0.3799283972192115,0.3123612498612498,0.2661098270279772,0.4313035922410922,0.3706472647794242,0.5121389412556302,0.5083369836170097,0.3614810604029941
clarity-score-k100,cohere,56,0.3217830532562675,0.2812333232121213,0.4425514465693037,0.3899393451099002,0.3318780921459493,0.2626100963327301,0.4410988565006422,0.3693362235168266,0.5253124627023592,0.5056241329261691,0.3485934795417756
nqc-no-norm-k100,cohere,56,0.3207835319442462,0.2919608165005666,0.4253781932353361,0.3878935519812759,0.3275809755720469,0.2663541427950152,0.4464779020582591,0.370854718635706,0.5800776091792421,0.5663095738571581,0.3809137254841558
nqc-norm-k100,cohere,56,0.3138036566607994,0.2844211339608841,0.4243861297432726,0.388480443935027,0.3247465084518656,0.2677401327970766,0.4354057648700506,0.3691956174952499,0.5834984816981209,0.5671317028780519,0.3835385651308555
pre_null,cohere,0,,,,,,,,,,,
pre_ql,cohere,56,0.3796228820782392,0.302985269528005,0.4808885930537716,0.4043235497486935,0.3316721472971472,0.2866357682810579,0.4520011610413396,0.3927988497340416,0.5269886080686742,0.5133563409536406,0.3482002946493451
qsd_post_predicted_ndcg,cohere,56,0.3432375907822336,0.2863995049774295,0.4442963534481391,0.3851665042627283,0.3208930950002379,0.2589672380576571,0.4322074998414283,0.3636911635743734,0.5684509480229224,0.5458108138592671,0.3517951546346004
pre_qsdqpp_predicted_ndcg,cohere,56,0.3843252729413443,0.3118914948815988,0.4908482390625248,0.4053531321205331,0.3313776253508397,0.2771801795187465,0.4477970690024261,0.3803909650061103,0.5314123068175524,0.5130450082993863,0.3404821841744709
pre_rv_bert,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
pre_rv_e5,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
sigma-max,cohere,56,0.3147553835053835,0.28259153994379,0.421396312021312,0.3844034445455277,0.3314478428317713,0.2660975045919484,0.4480878248735392,0.3714628814812638,0.5734902511449873,0.5586332387465137,0.3818247089946445
sigma-x0.5,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
smv-no-norm-k100,cohere,56,0.3281123638266495,0.2886995046914607,0.4304748822605965,0.3874662153997901,0.3352041559630845,0.2763925171191038,0.4549518685679399,0.3785488634556386,0.6010883102414492,0.5743752233805858,0.3864955685230923
smv-norm-k100,cohere,56,0.3173620030762887,0.2792977705129408,0.4184844421451564,0.3768176377869268,0.3348704618793904,0.2802692951030247,0.4493963130123845,0.3831793520146986,0.5926234664727001,0.5732189820018678,0.3873084409038422
wig-no-norm-k100,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
wig-no-norm-k1000,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
wig-norm-k100,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
wig-norm-k1000,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
original,cohere,56,0.3276982689929118,0.2868857044719495,0.423996762166405,0.3772668018946629,0.3194305198769484,0.2611220899996607,0.4320242133858205,0.3636988061081382,0.5568864293335423,0.5408208991403828,0.3746588949840263
max_oracle_nugget_all,cohere,56,0.4846649134595563,0.4388418859753446,0.5890445368123939,0.5331803002071274,0.3388476107226107,0.2783078362924117,0.4616746844425416,0.3838204654484785,0.5679662544410045,0.5585964000212352,0.3557789576678506
max_oracle_ndcg@5,cohere,56,0.3544820754642183,0.2952632748443506,0.4592184229461015,0.3916915891847476,0.3272078615828616,0.2579695950273128,0.4430711401693544,0.3674285570411455,0.7232538355799589,0.6491601444285428,0.3735396694564548
max_oracle_ndcg@10,cohere,56,0.3580370770102913,0.2981400615239348,0.4514523051353408,0.3901568889962438,0.3407674171067028,0.2702816407510127,0.4528700713968571,0.3699295144846062,0.6912000750480308,0.6829612504955317,0.3875010585634096
max_oracle_recall@100,cohere,56,0.332133318070818,0.2860823192299862,0.4417637917637917,0.37768214749708,0.3154137529137529,0.2796856186499873,0.4383192700156986,0.3847819991924509,0.6081376165836483,0.5986103222663528,0.4438721990321851
max_oracle_strict_all_score,cohere,56,0.5129228162710305,0.4566649607180623,0.5768133899830329,0.51235612336273,0.3191754921665635,0.2621432002748345,0.4419150294150294,0.376029140147962,0.5645502460642903,0.554656922426114,0.3515685151204251
max_oracle_strict_vital_score,cohere,56,0.5689821339374911,0.4191853640763138,0.6208292203827918,0.4858783358531119,0.3198220678131392,0.2587370760627892,0.4481171606171606,0.3713367975855536,0.5714748322655206,0.5430535830487083,0.3442631311188726
max_oracle_vital_score,cohere,56,0.5463358318269033,0.4064723487082233,0.6538546275153418,0.5050350182015512,0.3310266618302332,0.2693964031294029,0.4567012848262849,0.3803053013700266,0.568651074110417,0.5486167340720208,0.3604122211264491
max_oracle_genonly_nugget_all_score,cohere,56,0.3682520356627499,0.3004347402836733,0.4682665796505083,0.3990628710308194,0.4614681449502878,0.4138880105778049,0.5822875537161252,0.5256179474611584,0.5346909263084613,0.5040102382465393,0.350124206969948
max_oracle_genonly_nugget_strict_all_score,cohere,56,0.3453718156843156,0.3057497669353596,0.4467696118365761,0.4007967777345265,0.4789599041831184,0.4213211921837806,0.5727860928753785,0.504348460645453,0.5310552156455951,0.5079683447436126,0.3536970486913727
max_oracle_genonly_nugget_strict_vital_score,cohere,56,0.332581282804497,0.2886409257912464,0.4347656435826078,0.3816667320298871,0.5130443713032998,0.3802192918174508,0.5879150611293468,0.465223417992519,0.5314504962859227,0.5110158257865349,0.348886375213928
max_oracle_genonly_nugget_vital_score,cohere,56,0.3502821583178725,0.3057252994898118,0.4576025413078984,0.4022778806191842,0.5013054901447759,0.3793495018851608,0.6106254608486752,0.4847019012104289,0.550449878747051,0.5256500394485997,0.3565088168345022
avg_genqr,cohere,56,0.3753295414902558,0.3067054797167303,0.4788594143951287,0.4013338662894307,0.3242483409447695,0.26975927921776,0.4424407784675642,0.3784385021797947,0.5465845170614253,0.5197534136793339,0.3354343667692793
avg_genqr_ensemble,cohere,56,0.3659817612942612,0.3020007956869412,0.4727991552098695,0.3985814881636006,0.3364616881134737,0.2859206405387575,0.45182571149089,0.3913340364056308,0.5104383220486849,0.4855495275040782,0.3269143151854953
avg_mugi,cohere,56,0.3637124532213818,0.2891377646629748,0.4642346344132058,0.3838293904008051,0.3351105343069628,0.2655852733836756,0.4398129375584733,0.3643758092275065,0.5428490075034593,0.5345861171507069,0.3635575498728843
avg_qa_expand,cohere,56,0.3235226826744684,0.2804223457264147,0.4257572635697635,0.3702054203091493,0.295451091567163,0.2455471087036213,0.4055313164018521,0.3460670026966743,0.5373067624371133,0.5199190465155528,0.3559056478487642
avg_query2doc,cohere,56,0.3278576136165422,0.2715374436027631,0.4273060297837084,0.3608796287423693,0.2938641715427429,0.2381690559458969,0.40387512289298,0.3385829422095178,0.5629265321810412,0.5517306338200189,0.3713854026811875
avg_query2e,cohere,56,0.3544463126159555,0.2994695085432038,0.4528990676981748,0.3919043604360527,0.3110040951112379,0.2531724774776798,0.4304558660585447,0.3618415115171943,0.5307220769079236,0.5123925444147401,0.3422444133872339
